index;name;d_obs;slope;aspect;lat;lon
98;TN159;0.11;23.440675570641034;109.14681505570498;46.01293000000765;7.456429999998809
99;TN160;0.16;21.653026100104526;98.43251661239047;46.012960000007666;7.456269999998807
100;TN161;0.2;23.081880230244582;100.52157449988556;46.01305000000765;7.45606999999881
101;TN204;0.2;6.307771345631021;49.698055003050754;46.01266000000768;7.459599999998818
102;TN205;0.17;6.74593493493527;296.3827014942363;46.012740000007646;7.459459999998816
103;TN206;0.05;11.804383924655479;163.99385632264296;46.01273000000764;7.459109999998819
104;TN207;0.1;18.191627139229396;308.6120465331927;46.01267000000765;7.458909999998817
105;TN208;0.05;15.914008313782361;316.3132308480444;46.01245000000767;7.458929999998817
106;TN209;0.05;14.395703499095957;149.04812186355878;46.01223000000765;7.4588599999988165
107;TN210;0.05;11.872439179720917;123.87086220082492;46.01204000000765;7.458869999998814
108;TN211;0.06;22.29487416882622;225.65613318700326;46.011800000007675;7.458749999998815
109;TN212;0.1;9.585490452053591;197.36320882461305;46.011650000007684;7.458869999998816
111;TN237;0.17;15.641142690132675;295.7584874220845;46.011410000007665;7.459179999998818
112;TN238;0.16;13.104818444911057;323.6124917586328;46.011520000007664;7.459289999998816
113;TN239;0.19;9.81343658467536;289.43533228111045;46.01182000000766;7.459189999998817
114;TN240;0.14;11.260389185144835;294.6482309827305;46.01214000000768;7.459419999998818
